,HN00157641_AMT60212,HN00157641_CPP6002,HN00158226_AMT-62212,HN00158226_AMT-62411,HN00158226_AMT-86116,HN00158226_AMT-912711,HN00158226_F1493,HN00158226_GS200142,HN00158226_K200742,HN00158226_TJ3-03,HN00160728_K40318,HN00161493_KY0014,HN00163376_AMT88628,HN00163376_FA111,HN00167634_C4-2,HN00167634_CPP0006,HN00167634_K200347,HN00171167_F3034,HN00171167_F3035,HN00171167_F3039,HN00171167_F3062,HN00171167_F3071,HN00173995_F3121,HN00173995_F3303,HN00173995_F3309,HN00173995_MK3-11,HN00173995_MK3-15,HN00173995_MK7-12,HN00173995_MK7-50,HN00173995_T10-36,HN00173995_T10-42,HN00175004_F3085,HN00175004_F3276,HN00175004_GS00019,HN00175004_GS00024,HN00175004_GS00026,HN00175004_MK2-49,HN00175486_F1015,HN00175486_F1049,HN00175486_F1319,HN00175486_F1320,HN00175486_F1321,HN00175486_F1331,HN00175486_F1340,HN00175486_F3127,HN00175486_F3142,HN00175486_F3161,HN00175486_F3168,HN00175486_F3177,HN00175486_F3230,HN00175486_F3232,HN00175486_GS00022,HN00175796_F3300,HN00175796_F3301,HN00175796_F3306,HN00175796_F3307,HN00175796_F3369,HN00175796_F3370,HN00175796_F3371,HN00175796_F3378,HN00175796_F3454,HN00175796_F3461,HN00175796_F3466,HN00175796_GS201401,HN00175796_GS201402,HN00175796_GS41424,HN00175796_GS41425,HN00176442_F3372,HN00176442_GS40304,HN00176442_GS40306,HN00176442_GS41429,HN00176442_GSY0003,HN00176442_GSY0007,HN00176442_GSY0017,HN00179262_F4055,HN00179262_F4206,HN00179262_F4454,HN00179328_F2309-1,HN00179328_F2317,HN00179328_K040706,HN00179328_KMGR2-43,HN00180670_CHKJ1115-02,HN00180670_CHKJ1127,HN00180670_CHKJ1223-2,HN00180670_F2080,HN00180670_F2121,HN00180670_K40327,HN00180670_MK1-10,HN00180670_MK1-12,HN00180670_MK1-13,HN00180670_MK1-18,HN00180670_MK1-34,HN00180670_MK1-9,HN00180670_MK2-12,HN00180670_MK2-3,HN00180670_MK2-6,HN00195341_AMT-61016,HN00195341_CHKJ1253026,HN00195341_DK250101,HN00195341_DK250105,HN00195341_DK250126,HN00195341_DK250312,HN00195341_DK50004,HN00195341_DK50032,HN00195341_G2-10,HN00195341_G3-29,HN00195341_JJ1-135,HN00196390_AMT-60411,HN00196390_CHKJ1122,HN00196390_DK250125,HN00196390_F2132,HN00196390_F2151,HN00196390_K200109,HN00196390_K200234,HN00196390_K40028,HN00196390_K40049,HN00196390_KFT18,HN00196822_AMT-60612,HN00196822_AMT-86113,HN00196822_K200228,HN00196822_K40725,HN00200515_AMT-62920,HN00200515_AMT-73813,HN00200515_AMT-74226,HN00200515_DKM250103,HN00200515_GS00003,HN00200515_GS00008,HN00200515_GS00049,HN00200515_GS200102,HN00200515_GS200141,HN00200515_K40006,HN00200515_KY0001,HN00200515_KY0017,HN00200749_GS00038,HN00200749_K200115,HN00200749_K42834,HN00200749_KK200119,HN00200749_MK2-46,HN00200749_T10-11,HN00203775_CHKJ1253002,HN00203775_F2100,HN00203775_F4043,HN00203775_F4202,HN00203775_F4207,HN00204805_CHKJ1211-1,HN00204805_F1208,HN00204805_F1249-1,HN00204805_FA0221,HN00215192_CH2-11,HN00222446_AMT-87013,HN00222446_AMT73616,HN00222446_CH2-30,HN00222446_CHKJ1408,HN00222446_FA0107,HN00222446_FA0422,HN00222446_FA0508,HN00222446_GS40726,HN00222446_GSY0035,HN00222446_JJ1-101,HN00222446_KO11-19,HN00222446_Sea08-36,HN00222446_T1-19,HN00223109_AMT-912213,HN00223109_MK1-41,HN00223109_T7-42,HN00223109_TPP6047,HN00226248_AMT-63123,HN00226248_TPP3038,HN00234071_Bifi-B2104,HN00251139_BGIL25015,HN00251139_BGIL25041,HN00251139_BJS25001,HN00251139_BJS25005,HN00251139_BJS25013,HN00251139_BJS25028,HN00251139_BJS25031,HN00251139_BJS25032,HN00251139_BMX25005,HN00251139_BMX25007,HN00251139_BTH25001,HN00251139_BTH25041,HN00251139_KCUT25010,HN00251139_KJS25013,HN00251139_KJS25018,HN00251139_KJS25024,HN00251139_KJS25025,HN00251139_KYF25002,HN00252244_BMX25010,HN00280011_AMT-60913,HN00280011_AMT-62814-2,HN00280011_AMT-74420,HN00280011_AMT-913617,HN00280011_BEG25026,HN00280011_BGIL25058,HN00280011_BSO25040,HN00280011_C3-36,HN00280011_C4-50,HN00280011_CHKJ1253001,HN00280011_CHKJ153021-2,HN00280011_F1016,HN00280011_F1169-1,HN00280011_F2153,HN00280011_GS00031,HN00280011_KCUT25001,HN00280011_KCUT25011,HN00280011_KCUT25019,HN00280011_KCUT25026,HN00280011_KJS25004,HN00280011_KJS25048,HN00280011_KK200214,HN00280011_KYF25005,HN00280011_L11-28,HN00280011_L11-30,HN00280011_Sea9-11,HN00281774_BMX25006,HN00281774_BSO25019,HN00281774_BSO25044,HN00281774_C4-31,HN00281774_KRS25004,HN00281774_Sea9-10
HN00163376_AMT88628,99.0663,,,82.99905000000001,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.66470000000001,98.67005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.577,98.6443,98.6458,,,,,,,,,,,,,,,,,,98.84360000000001,,,99.69375,,,,,,,,98.88095,,,,,,,99.21955,,,99.07724999999999,,,,,,,,,99.03405000000001,,,,,,,,,,,,,,,,99.0937,,,,,,,,,,,,,,,,,,,,,,98.75635,,99.00095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN00163376_FA111,,81.19255000000001,,,,,,,,,,,,100.0,,81.21785,,79.00534999999999,,,,78.8375,,81.3128,,,,,,,,,79.1011,,,,,,,97.95779999999999,98.0769,98.0218,81.22135,98.01044999999999,,,98.4358,79.0964,,,,78.7791,81.25205,,78.9756,,79.1808,78.91839999999999,79.10115,,,98.13635,81.2764,,,81.24664999999999,,,,,,78.7744,98.47515,81.20920000000001,,,79.1,,,,,,,,,,,,,,,,,,,,,98.4699,,,,,,,,,,,,,81.31030000000001,81.3591,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5249,,,,,,,81.25025,81.74565000000001,,,,,79.27785,81.23995,81.2259,,,81.2126,,,,98.16265,,,,81.31665000000001,,81.0381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5078,79.31445,,,81.18535,,,,,,,,,,,,,,,98.3365,,,
HN00167634_C4-2,,,,,,,,,,,,,,,100.0,,,,,,,,,,91.5228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.92375,,,,,,,,,,91.42699999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.9417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.69980000000001,,,,,,
HN00167634_CPP0006,,93.79390000000001,,,,,,,,,,,,81.21785,,100.0,,78.9919,,,,,,93.88735,,,,,,,,,78.80565,,,,,,,81.0281,80.934,81.04555,93.92490000000001,81.0514,,,80.9598,79.25829999999999,,,,,93.86735,,79.1404,,79.143,79.0861,78.7723,,,81.02895,93.9906,,,93.94365,,,,,,,80.95835,93.95515,,,79.0454,,,,,,,,,,,,,,,,,,,,,81.01035,,,,,,,,,,,,,93.98595,93.94955,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.05529999999999,,,,,,,93.92095,80.8099,,,,,79.1934,93.9764,93.90469999999999,,,93.94975,,,,80.91395,,,,93.8617,,93.89195000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.14815,79.1942,,,93.9876,,,,,,,,,,,,,,,81.05555,,,
HN00167634_K200347,,,,,,,,83.1954,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.42339999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2033,,83.25880000000001,,99.21965,,,,83.2646,,,,,,,,83.2635,,,,,83.3835,98.9247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN00171167_F3034,,79.0299,,,,,,,,,,,,79.00534999999999,,78.9919,,100.0,,,,,,78.89985,,,,,,,,,86.31015,,,,,,,78.9906,79.07515000000001,79.0061,78.91915,79.1339,,,79.03225,83.16499999999999,,,,,78.96665,,83.16845,,99.7636,99.64269999999999,86.2927,,,79.00305,78.89635,,,79.19655,,,,,,,79.1729,79.17009999999999,,,83.2092,,,,,,,,,,,,,,,,,,,,,79.0164,,,,,,,,,,,,,78.85475,79.02135,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.07345000000001,,,,,,,79.04275000000001,78.7536,,,,,83.12675,78.9399,78.85895,,,79.0823,,,,79.01075,,,,78.8777,,79.05175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.1225,83.04650000000001,,,78.99125000000001,,,,,,,,,,,,,,,79.00874999999999,,,
HN00171167_F3035,,,,,,,,,,,,,,,,,,,100.0,89.27215,98.34030000000001,89.29855,89.16284999999999,,,,,,,,,98.351,,,,98.35650000000001,,,,,,,,,,89.19739999999999,,,,98.01625,,89.21979999999999,,89.20935,,98.0036,,,,,98.2995,,,,,,89.26595,,,,,89.26419999999999,,,,,,97.98849999999999,89.27414999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.36925,,,,,,,,,,,,,,
HN00171167_F3039,,,,,,,,,,,,,,,,,,,89.27215,100.0,89.2173,96.0582,91.65445,,,,,,,,,89.30435,,,,89.29665,,,,,,,,,,91.63645,78.9031,,,89.28720000000001,,97.321,,97.34835000000001,,89.3005,,,,,89.26775,,,,,,96.05675,,,,,97.3049,78.6229,,,,,89.28555,96.0307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.23935,,,,,,,,,,,79.2196,,,
HN00171167_F3062,,,,,,,,,,,,,,,,,,,98.34030000000001,89.2173,100.0,89.31020000000001,89.21485,,,,,,,,,98.2351,,,,98.27025,,,,,,,,,,89.28014999999999,,,,97.96029999999999,,89.2774,,89.23405,,97.93635,,,,,98.22905,,,,,,89.2604,,,,,89.263,,,,,,98.1459,89.29185000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.42795,,,,,,,,,,,,,,
HN00171167_F3071,,,,,,,,,,,,,,78.8375,,,,,89.29855,96.0582,89.31020000000001,100.0,91.5813,,,,,,,,,89.33415,,,,89.32175000000001,,,,,78.75335,,,,,91.5813,,,,89.32284999999999,,96.18895,,96.14045,,89.34565,,,,,89.35565,78.8692,,,,,98.62585,,,,,96.10745,78.5183,,,,,89.26595,98.61305,,,,,,,,,,,,,,,,,,,79.0745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0811,,,,,,,,78.6753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0623,,,,,,,,92.15875,,,,,,,,,,,79.0062,,,
HN00173995_F3121,,,,,,,,,,,,,,,,,,,89.16284999999999,91.65445,89.21485,91.5813,100.0,,,,,,,,,89.2261,,,,89.2684,,,,,,,,,,99.048,,,,89.22319999999999,,91.5671,,91.5468,,89.2809,,,,,89.19460000000001,,,,,,91.55565,,,,,91.58234999999999,,,,,,89.26405,91.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.40805,,,,,,,,,,,,,,
HN00173995_F3303,,99.23165,,,,,,,,,,,,81.3128,,93.88735,,78.89985,,,,,,100.0,,,,,,,,,78.90315,,,,,,,81.21745,81.1593,81.1548,97.53495,81.0942,,,81.08725,78.916,,,,,99.9999,,78.89555,,78.96945,78.85045,78.8582,,,81.1311,98.35965,,,98.4825,,,,,,,81.24535,98.48235,,,78.74305,,,,,,,,,,,,,,,,,,,,,81.26595,,,,,,,,,,,,,97.63685000000001,97.52305,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.2521,,,,,,,98.56620000000001,80.64269999999999,,,,,78.9191,97.61930000000001,97.6177,,,98.43095,,,,81.16315,,,,99.29565,,99.36795000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.27765,78.77185,,,97.6323,,,,,,,,,,,,,,,81.11955,,,
HN00173995_F3309,,,,,,,,,,,,,,,91.5228,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.55815,,,,,,,,,,95.88185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.94295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.5511,,,,,,
HN00173995_MK3-11,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN00173995_MK3-15,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.3607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN00173995_MK7-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,79.15645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.06805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.41669999999999,,,,,,,,,,,,,,,77.1387,,,77.1737,,,,78.75045,,,,,77.70044999999999,77.51115,,,,,,,,,78.01804999999999,,,,,,,,,,,,,,,,,,,,,,78.75145,,
HN00173995_MK7-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,79.38955,78.6792,,,,,,79.55275,,,,79.6431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
