sample_id	total_length_bp	n_contigs	N50	L50	largest_contig_bp	GC_pct	n_contigs_ge20kb	pct_length_in_contigs_ge20kb	genus_initial	species_initial	functional_group	Completeness	Contamination	pacbio_type	pacbio_total_bases	pacbio_mean_read_kb	pacbio_n50_bp	illumina_filtered_total_bases	pacbio_depth_x	illumina_depth_x	genus_final_validated	species_final_validated
HN00173995_MK3-15	4388249	1	4388249	1	4388249	48.58	1	100.0	Rossellomorea	Rossellomorea marisflavi	Bacillus_group	99.95	0.36	Subread	1072722026	8.847	10675	897093028	244.5	204.4	Rossellomorea	Rossellomorea marisflavi
HN00173995_MK7-12	2460577	1	2460577	1	2460577	73.19	1	100.0	Micrococcus	Micrococcus luteus	Other_Environmental	99.9	0.0	Subread	745919144	8.298	10660	441117508	303.1	179.3	Micrococcus	Micrococcus luteus
HN00173995_MK7-50	2672734	6	2513039	1	2513039	32.57	5	99.68	unresolved	Staphylococcus sp.	Unresolved	100.0	1.11	Subread	873372163	9.395	11219	1233332599	326.8	461.4	unresolved	Staphylococcus sp.
HN00173995_T10-36	2744347	1	2744347	1	2744347	71.15	1	100.0	unresolved	Kocuria sp.	Unresolved	99.99	0.1	Subread	794134107	8.513	10965	434170464	289.4	158.2	unresolved	Kocuria sp.
HN00173995_T10-42	1970306	3	1912377	1	1912377	42.27	2	99.55	Pediococcus	Pediococcus acidilactici	LAB	99.99	0.0	Subread	725411753	9.467	11589	912639068	368.2	463.2	Pediococcus	Pediococcus acidilactici
HN00175004_F3085	3817836	1	3817836	1	3817836	41.46	1	100.0	Bacillus	Bacillus altitudinis	Bacillus_group	100.0	0.02	Subread	763827934	8.364	10443	902860873	200.1	236.5	Bacillus	Bacillus altitudinis
HN00175004_F3276	4534392	3	3013760	1	3013760	46.15	2	99.9	Bacillus	Bacillus glycinifermentans	Bacillus_group	100.0	0.16	Subread	897122408	8.163	10149	589602937	197.8	130.0	Bacillus	Bacillus glycinifermentans
HN00175004_GS00019	2405817	5	2298458	1	2298458	45.84	3	99.18	Levilactobacillus	Levilactobacillus brevis	LAB	100.0	0.04	Subread	544984569	8.137	10431	751215141	226.5	312.2	Levilactobacillus	Levilactobacillus brevis
HN00175004_GS00024	2345735	1	2345735	1	2345735	35.2	1	100.0	Lactococcus	Lactococcus lactis	LAB	100.0	0.61	Subread	764563124	8.433	10568	1007202565	325.9	429.4	Lactococcus	Lactococcus lactis
HN00175004_GS00026	3765494	1	3765494	1	3765494	41.41	1	100.0	Bacillus	Bacillus altitudinis	Bacillus_group	100.0	0.02	Subread	712985219	8.417	10612	767458177	189.3	203.8	Bacillus	Bacillus altitudinis
HN00175004_MK2-49	4024627	2	2729455	1	2729455	38.76	2	100.0	Proteus	Proteus mirabilis	Other_Environmental	100.0	0.61	Subread	706498592	7.845	9856	887679376	175.5	220.6	Proteus	Proteus mirabilis
HN00175486_F1015	3071626	3	2936630	1	2936630	33.15	3	100.0	Staphylococcus	Staphylococcus gallinarum	Other_Environmental	99.99	0.18	Subread	995742737	9.258	11218	907972334	324.2	295.6	Staphylococcus	Staphylococcus gallinarum
HN00175486_F1049	2614876	1	2614876	1	2614876	32.8	1	100.0	Mammaliicoccus	Mammaliicoccus vitulinus	Other_Environmental	99.95	0.07	Subread	1038519272	9.525	11457	1021217503	397.2	390.5	Mammaliicoccus	Mammaliicoccus vitulinus
HN00175486_F1319	4164083	1	4164083	1	4164083	43.26	1	100.0	Bacillus	Bacillus subtilis	Bacillus_group	100.0	0.06	Subread	1051911659	9.016	10914	766004827	252.6	184.0	Bacillus	Bacillus subtilis
HN00175486_F1320	4221920	2	4213970	1	4213970	43.36	1	99.81	Bacillus	Bacillus subtilis	Bacillus_group	100.0	0.16	Subread	1004601029	8.944	11084	773335102	237.9	183.2	Bacillus	Bacillus subtilis
HN00175486_F1321	4189152	3	4127735	1	4127735	43.18	2	99.72	Bacillus	Bacillus subtilis	Bacillus_group	100.0	0.85	Subread	678500211	8.577	10554	783889769	162.0	187.1	Bacillus	Bacillus subtilis
HN00175486_F1331	3999342	1	3999342	1	3999342	46.47	1	100.0	Bacillus	Bacillus velezensis	Bacillus_group	100.0	0.06	Subread	905031688	10.11	12563	771984880	226.3	193.0	Bacillus	Bacillus velezensis
HN00175486_F1340	4164221	2	4114575	1	4114575	43.14	2	100.0	Bacillus	Bacillus subtilis	Bacillus_group	100.0	0.41	Subread	1095491541	9.167	10996	781383775	263.1	187.6	Bacillus	Bacillus subtilis
HN00175486_F3127	2923526	2	2897159	1	2897159	33.08	2	100.0	Staphylococcus	Staphylococcus xylosus	Other_Environmental	99.98	0.02	Subread	1008025754	9.935	12017	1011410466	344.8	346.0	Staphylococcus	Staphylococcus xylosus
HN00175486_F3142	3749118	1	3749118	1	3749118	41.64	1	100.0	Bacillus	Bacillus pumilus	Bacillus_group	100.0	0.01	Subread	1146162190	9.156	10868	766120629	305.7	204.3	Bacillus	Bacillus pumilus
HN00175486_F3161	4010994	1	4010994	1	4010994	43.62	1	100.0	Bacillus	Bacillus subtilis	Bacillus_group	100.0	0.26	Subread	858012672	9.107	10791	744741112	213.9	185.7	Bacillus	Bacillus subtilis
HN00175486_F3168	4585641	1	4585641	1	4585641	45.74	1	100.0	Bacillus	Bacillus paralicheniformis	Bacillus_group	100.0	0.1	Subread	1219281745	9.06	10766	912765790	265.9	199.0	Bacillus	Bacillus paralicheniformis
HN00175486_F3177	2613165	4	2516066	1	2516066	32.59	4	100.0	Staphylococcus	Staphylococcus cohnii	Other_Environmental	100.0	0.18	Subread	1045446433	9.934	12062	1070418115	400.1	409.6	Staphylococcus	Staphylococcus cohnii
HN00175486_F3230	3927039	3	3786017	1	3786017	41.3	3	100.0	Bacillus	Bacillus aerophilus	Bacillus_group	100.0	0.12	Subread	1422160387	9.036	10745	836457844	362.1	213.0	Bacillus	Bacillus aerophilus
HN00175486_F3232	2934121	3	2639105	1	2639105	38.03	2	99.67	Enterococcus	Enterococcus lactis	LAB	100.0	0.42	Subread	898930381	9.047	10641	976267653	306.4	332.7	Enterococcus	Enterococcus lactis
HN00175486_GS00022	3773238	1	3773238	1	3773238	41.67	1	100.0	Bacillus	Bacillus safensis	Bacillus_group	100.0	0.1	Subread	1017546695	9.408	11435	787668047	269.7	208.8	Bacillus	Bacillus safensis
HN00175796_F3300	3881456	1	3881456	1	3881456	46.68	1	100.0	Bacillus	Bacillus velezensis	Bacillus_group	100.0	0.0	Subread	1470112691	9.324	11280	625471811	378.8	161.1	Bacillus	Bacillus velezensis
HN00175796_F3301	4029762	3	3833542	1	3833542	41.5	3	100.0	Bacillus	Bacillus safensis	Bacillus_group	100.0	0.05	Subread	1040263011	9.176	10989	635672085	258.1	157.7	Bacillus	Bacillus safensis
HN00175796_F3306	4381229	1	4381229	1	4381229	45.93	1	100.0	Bacillus	Bacillus paralicheniformis	Bacillus_group	100.0	0.02	Subread	810242884	9.126	11119	667080905	184.9	152.3	Bacillus	Bacillus paralicheniformis
HN00175796_F3307	3737292	1	3737292	1	3737292	41.37	1	100.0	Bacillus	Bacillus altitudinis	Bacillus_group	100.0	0.01	Subread	1379418835	8.974	10544	769249659	369.1	205.8	Bacillus	Bacillus altitudinis
HN00175796_F3369	4521825	1	4521825	1	4521825	45.61	1	100.0	unresolved	Bacillus sp.	Unresolved	100.0	1.32	Subread	981923774	8.853	10665	581066239	217.2	128.5	unresolved	Bacillus sp.
HN00175796_F3370	4896446	2	4744789	1	4744789	44.95	2	100.0	unresolved	Bacillus sp.	Unresolved	100.0	0.92	Subread	1112467555	9.48	11358	689603924	227.2	140.8	unresolved	Bacillus sp.
HN00175796_F3371	4680256	2	4528599	1	4528599	45.81	2	100.0	Bacillus	Bacillus glycinifermentans	Bacillus_group	100.0	0.19	Subread	1373581396	9.057	10752	677233638	293.5	144.7	Bacillus	Bacillus glycinifermentans
HN00175796_F3378	5537278	3	5237407	1	5237407	35.5	3	100.0	Bacillus	Bacillus paranthracis	Bacillus_group	100.0	0.0	Subread	1161631799	9.184	10834	783320494	209.8	141.5	Bacillus	Bacillus paranthracis
HN00175796_F3454	3794557	1	3794557	1	3794557	41.31	1	100.0	Bacillus	Bacillus altitudinis	Bacillus_group	100.0	0.1	Subread	1583310636	9.328	11088	810378365	417.3	213.6	Bacillus	Bacillus altitudinis
HN00175796_F3461	4253348	1	4253348	1	4253348	43.24	1	100.0	Bacillus	Bacillus subtilis	Bacillus_group	100.0	0.29	Subread	1379167962	9.37	11426	859021397	324.3	202.0	Bacillus	Bacillus subtilis
HN00175796_F3466	4059134	1	4059134	1	4059134	46.28	1	100.0	Bacillus	Bacillus velezensis	Bacillus_group	100.0	0.01	Subread	1320365366	9.914	12059	632216878	325.3	155.8	Bacillus	Bacillus velezensis
HN00175796_GS201401	3379225	10	3100388	1	3100388	44.31	7	98.94	Lactiplantibacillus	Lactiplantibacillus plantarum	LAB	100.0	1.15	Subread	733050768	9.034	11062	682649441	216.9	202.0	Lactiplantibacillus	Lactiplantibacillus plantarum
HN00175796_GS201402	3373889	10	3100388	1	3100388	44.33	7	99.18	Lactiplantibacillus	Lactiplantibacillus plantarum	LAB	100.0	1.07	Subread	921768332	9.085	11041	714932121	273.2	211.9	Lactiplantibacillus	Lactiplantibacillus plantarum
HN00175796_GS41424	3873573	1	3873573	1	3873573	46.71	1	100.0	Bacillus	Bacillus velezensis	Bacillus_group	100.0	0.0	Subread	1261912704	9.399	11163	778727772	325.8	201.0	Bacillus	Bacillus velezensis
HN00175796_GS41425	3712199	1	3712199	1	3712199	41.61	1	100.0	Bacillus	Bacillus safensis	Bacillus_group	100.0	0.01	Subread	1280587533	9.232	11182	858803444	345.0	231.3	Bacillus	Bacillus safensis
HN00176442_F3372	4611251	1	4611251	1	4611251	65.75	1	100.0	unresolved	Arthrobacter sp.	Unresolved	100.0	1.65	Subread	787295341	8.487	10762	1097248136	170.7	238.0	unresolved	Arthrobacter sp.
HN00176442_GS40304	2082296	4	2004919	1	2004919	37.57	3	99.26	Leuconostoc	Leuconostoc mesenteroides	LAB	99.99	0.99	Subread	846272015	8.857	10513	1042936618	406.4	500.9	Leuconostoc	Leuconostoc mesenteroides
HN00176442_GS40306	5783089	3	5485913	1	5485913	35.19	3	100.0	Bacillus	Bacillus cereus	Bacillus_group	100.0	0.35	Subread	1068332458	9.137	10891	1017179487	184.7	175.9	Bacillus	Bacillus cereus
HN00176442_GS41429	2405819	5	2298470	1	2298470	45.84	3	99.18	Levilactobacillus	Levilactobacillus brevis	LAB	99.99	0.04	Subread	558244585	9.338	11370	870424674	232.0	361.8	Levilactobacillus	Levilactobacillus brevis
HN00176442_GSY0003	3778858	1	3778858	1	3778858	41.68	1	100.0	Bacillus	Bacillus safensis	Bacillus_group	100.0	0.03	Subread	1164598213	8.364	9945	1223516761	308.2	323.8	Bacillus	Bacillus safensis
HN00176442_GSY0007	4128020	2	4043412	1	4043412	43.68	2	100.0	Bacillus	Bacillus subtilis	Bacillus_group	100.0	0.21	Subread	759442749	9.186	11288	953843502	184.0	231.1	Bacillus	Bacillus subtilis
HN00176442_GSY0017	3873581	1	3873581	1	3873581	46.71	1	100.0	Bacillus	Bacillus velezensis	Bacillus_group	100.0	0.0	Subread	801142527	9.027	10917	1014874772	206.8	262.0	Bacillus	Bacillus velezensis
HN00179262_F4055	5337597	1	5337597	1	5337597	57.4	1	100.0	Klebsiella	Klebsiella pneumoniae	Other_Environmental	100.0	0.1	Subread	741910582	8.77	10843	2404383921	139.0	450.5	Klebsiella	Klebsiella pneumoniae
HN00179262_F4206	1945133	1	1945133	1	1945133	42.26	1	100.0	Pediococcus	Pediococcus acidilactici	LAB	99.98	0.0	Subread	798825645	9.967	12091	1903202710	410.7	978.4	Pediococcus	Pediococcus acidilactici
HN00179262_F4454	4585639	1	4585639	1	4585639	45.74	1	100.0	Bacillus	Bacillus paralicheniformis	Bacillus_group	100.0	0.1	Subread	1061887224	9.456	11608	2133335015	231.6	465.2	Bacillus	Bacillus paralicheniformis
HN00179328_F2309-1	3794480	3	3723952	1	3723952	41.33	3	100.0	Bacillus	Bacillus altitudinis	Bacillus_group	100.0	0.02	Subread	992103817	9.12	11045	1044442700	261.5	275.3	Bacillus	Bacillus altitudinis
HN00179328_F2317	3837379	1	3837379	1	3837379	41.53	1	100.0	Bacillus	Bacillus safensis	Bacillus_group	100.0	0.03	Subread	1029613433	9.068	10899	891531608	268.3	232.3	Bacillus	Bacillus safensis
HN00179328_K040706	2045236	2	1977302	1	1977302	41.17	2	100.0	Latilactobacillus	Latilactobacillus sakei	LAB	100.0	0.36	Subread	852256779	9.21	11150	929920175	416.7	454.7	Latilactobacillus	Latilactobacillus sakei
HN00179328_KMGR2-43	2833095	8	2555628	1	2555628	34.9	5	98.67	Lactococcus	Lactococcus lactis	LAB	100.0	0.83	Subread	1101667812	6.043	9624	975081888	388.9	344.2	Lactococcus	Lactococcus lactis
HN00180670_CHKJ1115-02	2892224	4	2634989	1	2634989	38.29	2	99.21	Enterococcus	Enterococcus faecium	LAB	100.0	0.47	Subread	1138514794	8.809	10432	930612737	393.6	321.8	Enterococcus	Enterococcus faecium
HN00180670_CHKJ1127	2987698	3	2693516	1	2693516	38.13	3	100.0	Lactococcus	Lactococcus lactis	LAB	100.0	0.71	Subread	4376262388	5.327	7479	830045963	1464.8	277.8	Enterococcus	Enterococcus lactis
HN00180670_CHKJ1223-2	2966783	4	2680907	1	2680907	38.16	2	99.56	Enterococcus	Enterococcus faecium	LAB	100.0	0.47	Subread	1141835416	9.33	11164	802172970	384.9	270.4	Enterococcus	Enterococcus lactis
HN00180670_F2080	2755076	2	2589834	1	2589834	38.29	2	100.0	Enterococcus	Enterococcus lactis	LAB	100.0	0.46	Subread	786355271	8.904	10529	992110510	285.4	360.1	Enterococcus	Enterococcus lactis
HN00180670_F2121	2756152	2	2590910	1	2590910	38.28	2	100.0	Enterococcus	Enterococcus lactis	LAB	100.0	0.46	Subread	1098426775	9.408	11238	795929472	398.5	288.8	Enterococcus	Enterococcus lactis
HN00180670_K40327	2685269	1	2685269	1	2685269	37.8	1	100.0	Enterococcus	Enterococcus faecalis	LAB	100.0	0.07	Subread	947453788	9.366	11052	788568754	352.8	293.7	Enterococcus	Enterococcus faecalis
HN00180670_MK1-10	2764464	2	2605493	1	2605493	38.02	2	100.0	Enterococcus	Enterococcus faecium	LAB	100.0	0.38	Subread	859156546	8.718	10387	859536527	310.8	310.9	Enterococcus	Enterococcus faecium
HN00180670_MK1-12	2907802	2	2730102	1	2730102	38.08	2	100.0	Enterococcus	Enterococcus faecium	LAB	100.0	0.23	Subread	874774140	8.985	10664	692544295	300.8	238.2	Enterococcus	Enterococcus lactis
HN00180670_MK1-13	2774598	2	2719442	1	2719442	37.6	2	100.0	Enterococcus	Enterococcus faecalis	LAB	99.99	0.16	Subread	860591926	9.431	11270	1040334375	310.2	374.9	Enterococcus	Enterococcus faecalis
HN00180670_MK1-18	2637936	2	2463348	1	2463348	38.12	2	100.0	Enterococcus	Enterococcus faecium	LAB	100.0	0.82	Subread	1142252297	9.127	10939	852617528	433.0	323.2	Enterococcus	Enterococcus faecium
HN00180670_MK1-34	2809453	2	2740556	1	2740556	37.6	2	100.0	Enterococcus	Enterococcus faecalis	LAB	99.99	0.04	Subread	971912697	9.393	11257	823820679	345.9	293.2	Enterococcus	Enterococcus faecalis
HN00180670_MK1-9	2774598	2	2719442	1	2719442	37.6	2	100.0	Enterococcus	Enterococcus faecalis	LAB	99.99	0.16	Subread	1080323533	9.016	10752	881252827	389.4	317.6	Enterococcus	Enterococcus faecalis
HN00180670_MK2-12	2860165	3	2734027	1	2734027	37.6	3	100.0	Enterococcus	Enterococcus faecalis	LAB	100.0	0.16	Subread	801005834	8.637	10407	853763259	280.1	298.5	Enterococcus	Enterococcus faecalis
HN00180670_MK2-3	2812972	3	2755770	1	2755770	37.61	2	99.52	Enterococcus	Enterococcus faecalis	LAB	99.99	0.05	Subread	799792784	8.903	10749	804611036	284.3	286.0	Enterococcus	Enterococcus faecalis
HN00180670_MK2-6	2774598	2	2719442	1	2719442	37.6	2	100.0	Enterococcus	Enterococcus faecalis	LAB	99.99	0.16	Subread	755907534	8.906	10753	738645356	272.4	266.2	Enterococcus	Enterococcus faecalis
HN00195341_AMT-61016	2529474	7	2335774	1	2335774	45.7	5	99.22	Levilactobacillus	Levilactobacillus brevis	LAB	99.99	0.17	HiFi	1517133587	9.81	10853	692426950	599.8	273.7	Levilactobacillus	Levilactobacillus brevis
HN00195341_CHKJ1253026	4082218	1	4082218	1	4082218	43.8	1	100.0	Bacillus	Bacillus subtilis	Bacillus_group	100.0	0.04	HiFi	1660194853	10.368	11487	850210840	406.7	208.3	Bacillus	Bacillus subtilis
HN00195341_DK250101	2431668	2	2392812	1	2392812	45.02	2	100.0	Weissella	Weissella cibaria	LAB	99.99	0.82	HiFi	1099476684	9.77	10771	778691546	452.1	320.2	Weissella	Weissella cibaria
HN00195341_DK250105	2155455	3	2093130	1	2093130	37.03	2	99.35	Leuconostoc	Leuconostoc mesenteroides	LAB	100.0	0.99	HiFi	1565323952	10.391	11448	722650022	726.2	335.3	Leuconostoc	Leuconostoc mesenteroides
HN00195341_DK250126	3311585	7	3100134	1	3100134	44.41	6	99.43	Lactiplantibacillus	Lactiplantibacillus plantarum	LAB	100.0	0.95	HiFi	1010441468	9.699	10790	687259723	305.1	207.5	Lactiplantibacillus	Lactiplantibacillus plantarum
HN00195341_DK250312	3297670	8	3100388	1	3100388	44.41	5	98.92	Lactiplantibacillus	Lactiplantibacillus plantarum	LAB	100.0	1.19	HiFi	1027991834	9.609	10687	691630297	311.7	209.7	Lactiplantibacillus	Lactiplantibacillus plantarum
HN00195341_DK50004	3297636	8	3100388	1	3100388	44.41	5	98.92	Lactiplantibacillus	Lactiplantibacillus plantarum	LAB	100.0	1.18	HiFi	1373224115	10.096	11191	730721854	416.4	221.6	Lactiplantibacillus	Lactiplantibacillus plantarum
HN00195341_DK50032	2677187	9	2373036	1	2373036	45.44	8	99.74	Levilactobacillus	Levilactobacillus brevis	LAB	100.0	0.89	HiFi	1244320402	9.518	10526	709835305	464.8	265.1	Levilactobacillus	Levilactobacillus brevis
HN00195341_G2-10	1843247	2	1785475	1	1785475	37.34	2	100.0	Pediococcus	Pediococcus pentosaceus	LAB	100.0	0.12	HiFi	1257831239	10.062	11128	711591957	682.4	386.1	Pediococcus	Pediococcus pentosaceus
HN00195341_G3-29	2106126	5	1991095	1	1991095	37.66	3	98.31	Leuconostoc	Leuconostoc mesenteroides	LAB	99.99	0.4	HiFi	1202882638	9.756	10782	709444800	571.1	336.8	Leuconostoc	Leuconostoc mesenteroides
HN00195341_JJ1-135	1999801	1	1999801	1	1999801	42.38	1	100.0	Pediococcus	Pediococcus acidilactici	LAB	100.0	0.9	HiFi	987459226	9.504	10631	680204168	493.8	340.1	Pediococcus	Pediococcus acidilactici
HN00196390_AMT-60411	2016687	2	2011026	1	2011026	37.19	1	99.72	Leuconostoc	Leuconostoc mesenteroides	LAB	99.99	0.15	HiFi	380878913	7.569	8488	1721033540	188.9	853.4	Leuconostoc	Leuconostoc mesenteroides
HN00196390_CHKJ1122	2987760	3	2693518	1	2693518	38.13	3	100.0	Lactococcus	Lactococcus lactis	LAB	100.0	0.71	HiFi	488270790	8.466	9516	1284149370	163.4	429.8	Enterococcus	Enterococcus lactis
HN00196390_DK250125	2343425	6	2289836	1	2289836	44.67	2	99.01	Weissella	Weissella confusa	LAB	100.0	2.11	HiFi	434368712	8.136	9230	1243158373	185.4	530.5	Weissella	Weissella confusa
HN00196390_F2132	4040078	1	4040078	1	4040078	46.01	1	100.0	Bacillus	Bacillus velezensis	Bacillus_group	100.0	0.34	HiFi	466562939	7.867	9008	1389572918	115.5	343.9	Bacillus	Bacillus velezensis
HN00196390_F2151	3956407	1	3956407	1	3956407	46.56	1	100.0	Bacillus	Bacillus velezensis	Bacillus_group	100.0	0.08	HiFi	484361343	8.384	9729	1191333514	122.4	301.1	Bacillus	Bacillus velezensis
HN00196390_K200109	2548131	5	2492952	1	2492952	44.76	2	98.64	Weissella	Weissella cibaria	LAB	100.0	0.79	HiFi	218923730	7.012	7832	1231859679	85.9	483.4	Weissella	Weissella cibaria
HN00196390_K200234	2032781	5	1915563	1	1915563	41.92	4	99.46	Latilactobacillus	Latilactobacillus curvatus	LAB	100.0	0.06	HiFi	173422971	7.001	7850	1250392979	85.3	615.1	Latilactobacillus	Latilactobacillus curvatus
HN00196390_K40028	2426054	4	2310501	1	2310501	35.16	3	99.66	Lactococcus	Lactococcus lactis	LAB	100.0	0.66	HiFi	289076707	7.32	8242	1238499247	119.2	510.5	Lactococcus	Lactococcus lactis
HN00196390_K40049	2029730	3	1956728	1	1956728	41.13	2	99.49	Latilactobacillus	Latilactobacillus sakei	LAB	99.99	0.1	HiFi	97006154	6.456	7134	1249108035	47.8	615.4	Latilactobacillus	Latilactobacillus sakei
HN00196390_KFT18	2599438	1	2599438	1	2599438	38.51	1	100.0	Enterococcus	Enterococcus lactis	LAB	100.0	0.06	HiFi	501656040	8.449	9520	842629132	193.0	324.2	Enterococcus	Enterococcus lactis
HN00196822_AMT-60612	1929663	1	1929663	1	1929663	41.89	1	100.0	Latilactobacillus	Latilactobacillus curvatus	LAB	100.0	0.09	HiFi	144273900	7.38	8495	748916052	74.8	388.1	Latilactobacillus	Latilactobacillus curvatus
