user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
HN00175796_F3371	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus glycinifermentans	GCF_001042475.2	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus glycinifermentans	99.45	0.962	GCF_001042475.2	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus glycinifermentans	99.45	0.962	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001592005.1, s__Bacillus sonorensis, 95.0, 86.35, 0.603; GCF_001969815.1, s__Bacillus swezeyi, 95.0, 83.32, 0.378; GCF_029537375.1, s__Bacillus sonorensis_A, 95.0, 83.31, 0.35; GCF_000011645.1, s__Bacillus licheniformis, 95.0, 83.11, 0.358; GCF_001042485.2, s__Bacillus paralicheniformis, 95.0, 82.79, 0.345; GCF_001969855.1, s__Bacillus haynesii, 95.2, 82.53, 0.322	96.94	11	N/A	N/A
HN00175796_F3378	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A paranthracis	GCF_001883995.1	95.17	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A paranthracis	98.59	0.844	GCF_001883995.1	95.17	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A paranthracis	98.59	0.844	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001884025.1, s__Bacillus_A pacificus, 95.52, 95.67, 0.829; GCF_001884035.1, s__Bacillus_A tropicus, 95.25, 95.18, 0.848; GCF_000742895.1, s__Bacillus_A anthracis, 95.0, 94.94, 0.813; GCF_001455345.1, s__Bacillus_A thuringiensis_N, 95.0, 93.98, 0.821; GCF_006494425.1, s__Bacillus_A dicomae, 95.0, 93.96, 0.796; GCF_921008455.1, s__Bacillus_A basilensis, 95.21, 93.96, 0.783; GCF_018332475.1, s__Bacillus_A sanguinis, 95.12, 93.91, 0.8; GCF_038971285.1, s__Bacillus_A sp002571225, 95.0, 93.57, 0.773; GCF_002746455.1, s__Bacillus_A fungorum, 95.0, 93.27, 0.715; GCF_007678085.1, s__Bacillus_A cereus_BE, 95.0, 93.21, 0.793; GCF_001884045.1, s__Bacillus_A mobilis, 95.0, 93.16, 0.793; GCF_001583695.1, s__Bacillus_A wiedmannii, 95.0, 93.09, 0.771; GCF_001884185.1, s__Bacillus_A albus, 95.0, 93.04, 0.743; GCF_022095615.2, s__Bacillus_A cereus_AG, 95.0, 93.03, 0.762; GCF_008923725.1, s__Bacillus_A sp008923725, 95.0, 92.75, 0.745; GCF_003400245.1, s__Bacillus_A sp003400245, 95.0, 92.42, 0.745; GCF_000007825.1, s__Bacillus_A cereus, 95.0, 91.97, 0.752; GCF_001595725.1, s__Bacillus_A thuringiensis_K, 96.75, 91.6, 0.733; GCF_001182785.1, s__Bacillus_A thuringiensis, 96.46, 91.54, 0.723; GCF_000021305.1, s__Bacillus_A thuringiensis_S, 96.14, 91.54, 0.71; GCF_001884105.1, s__Bacillus_A luti, 95.0, 91.48, 0.741; GCF_000496285.1, s__Bacillus_A toyonensis, 95.0, 90.99, 0.739; GCF_002567495.1, s__Bacillus_A cereus_AQ, 95.0, 90.94, 0.706; GCA_027694045.1, s__Bacillus_A sp027694045, 95.0, 90.79, 0.739; GCF_002584985.1, s__Bacillus_A sp002584985, 95.0, 90.72, 0.68; GCF_025917685.1, s__Bacillus_A cereus_AT, 95.28, 90.33, 0.702; GCF_002577405.1, s__Bacillus_A cereus_AU, 95.0, 90.33, 0.681; GCF_002564555.1, s__Bacillus_A cereus_K, 95.0, 90.16, 0.676; GCF_018332515.1, s__Bacillus_A hominis, 95.0, 90.03, 0.644; GCF_001884135.1, s__Bacillus_A nitratireducens, 95.0, 90.02, 0.669; GCA_014932895.1, s__Bacillus_A thuringiensis_AA, 95.0, 90.02, 0.626; GCF_001884065.1, s__Bacillus_A proteolyticus, 95.0, 90.0, 0.648; GCA_002578045.1, s__Bacillus_A cereus_AK, 95.0, 89.95, 0.593; GCF_018966865.1, s__Bacillus_A sp018966865, 95.0, 89.76, 0.684; GCF_040459645.1, s__Bacillus_A mycoides_C, 95.0, 89.76, 0.66; GCF_000832605.1, s__Bacillus_A mycoides, 95.0, 89.72, 0.63; GCF_018742245.1, s__Bacillus_A cereus_U, 95.0, 89.18, 0.63; GCF_015071065.1, s__Bacillus_A cereus_BA, 95.0, 88.97, 0.601; GCF_002975175.1, s__Bacillus_A sp002975175, 95.0, 88.97, 0.584; GCF_001757995.1, s__Bacillus_A mycoides_B, 95.0, 88.93, 0.611; GCF_001884235.1, s__Bacillus_A paramycoides, 95.0, 88.85, 0.601; GCF_000746925.1, s__Bacillus_A clarus, 95.0, 86.05, 0.452; GCF_002551815.1, s__Bacillus_A sp002551815, 95.0, 84.24, 0.28; GCF_013314535.1, s__Bacillus_A sp013314535, 95.0, 83.43, 0.253; GCA_039549175.1, s__Bacillus_A sp039549175, 95.0, 83.31, 0.257; GCF_017498775.1, s__Bacillus_A arachidis, 95.0, 83.1, 0.249; GCF_022811845.1, s__Bacillus_A cereus_AV, 95.0, 83.02, 0.247; GCA_002561295.1, s__Bacillus_A cereus_S, 95.0, 83.0, 0.283; GCF_000017425.1, s__Bacillus_A cytotoxicus, 95.0, 83.0, 0.277; GCA_037095095.1, s__Bacillus_A cereus_BF, 95.0, 82.88, 0.243; GCF_000299035.1, s__Bacillus_A bingmayongensis, 95.0, 82.83, 0.253; GCF_001590835.1, s__Bacillus_A gaemokensis, 95.0, 82.77, 0.251; GCF_022663115.1, s__Bacillus_A cereus_BD, 95.0, 82.71, 0.27; GCF_030292155.1, s__Bacillus_A sp030292155, 95.0, 82.53, 0.187; GCF_000161455.1, s__Bacillus_A pseudomycoides, 95.0, 82.44, 0.239	89.59	11	N/A	Genome has more than 10.0% of markers with multiple hits
HN00175796_F3454	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus altitudinis	GCF_000691145.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus altitudinis	98.43	0.946	GCF_000691145.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus altitudinis	98.43	0.946	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000300535.1, s__Bacillus xiamenensis, 95.0, 91.58, 0.838; GCF_024498355.1, s__Bacillus pumilus_P, 95.0, 90.79, 0.806; GCF_014764715.1, s__Bacillus sp014764715, 95.0, 90.66, 0.815; GCF_000715205.1, s__Bacillus zhangzhouensis, 95.0, 90.48, 0.827; GCF_038738535.1, s__Bacillus sp002998085, 95.0, 90.33, 0.823; GCF_000691165.1, s__Bacillus safensis, 95.0, 90.03, 0.799; GCF_002744245.1, s__Bacillus pumilus_M, 95.0, 90.02, 0.757; GCF_900186955.1, s__Bacillus pumilus, 95.45, 89.9, 0.79; GCF_003431975.1, s__Bacillus pumilus_N, 95.0, 89.85, 0.787; GCF_020524495.1, s__Bacillus stratosphericus_B, 95.0, 89.82, 0.685; GCF_009937765.1, s__Bacillus pumilus_O, 95.0, 89.76, 0.766; GCF_001307105.1, s__Bacillus australimaris, 95.01, 89.75, 0.817; GCA_025809375.1, s__Bacillus zhangzhouensis_A, 95.0, 89.69, 0.755; GCA_030159235.1, s__Bacillus safensis_B, 95.0, 89.55, 0.777; GCF_040500475.1, s__Bacillus sp040500475, 95.0, 86.56, 0.567; GCA_001938995.1, s__Bacillus pumilus_G, 95.0, 86.48, 0.611	96.84	11	N/A	N/A
HN00175796_F3461	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis	GCF_000009045.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis	98.39	0.916	GCF_000009045.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis	98.39	0.916	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000738015.1, s__Bacillus stercoris, 95.0, 94.87, 0.887; GCF_000332645.1, s__Bacillus inaquosorum, 95.0, 92.68, 0.827; GCF_004124315.2, s__Bacillus cabrialesii, 95.0, 92.29, 0.849; GCA_026790065.1, s__Bacillus sp026790065, 95.0, 92.22, 0.861; GCF_031316495.1, s__Bacillus spizizenii, 95.0, 92.22, 0.843; GCF_011745685.2, s__Bacillus rugosus, 95.0, 92.04, 0.822; GCF_031317525.1, s__Bacillus tequilensis, 95.0, 91.59, 0.815; GCF_040784915.1, s__Bacillus subtilis_G, 95.0, 91.45, 0.785; GCF_004116955.1, s__Bacillus vallismortis, 95.0, 90.93, 0.763; GCA_020223575.2, s__Bacillus mexicanus, 95.0, 90.52, 0.777; GCF_001517105.1, s__Bacillus halotolerans, 95.0, 88.57, 0.732; GCF_031316635.1, s__Bacillus mojavensis, 95.47, 88.19, 0.744; GCF_001584335.1, s__Bacillus atrophaeus, 95.0, 81.76, 0.256; GCF_000196735.1, s__Bacillus amyloliquefaciens, 95.0, 81.24, 0.181; GCF_000262045.1, s__Bacillus siamensis, 95.0, 80.92, 0.191; GCF_001461825.1, s__Bacillus velezensis, 95.0, 80.81, 0.178; GCF_018613535.1, s__Bacillus sp018613535, 95.0, 80.7, 0.201; GCF_001584325.1, s__Bacillus nakamurai, 95.0, 80.58, 0.185	96.19	11	N/A	N/A
HN00175796_F3466	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis	GCF_001461825.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis	97.68	0.906	GCF_001461825.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis	97.68	0.906	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000262045.1, s__Bacillus siamensis, 95.0, 94.28, 0.907; GCF_000196735.1, s__Bacillus amyloliquefaciens, 95.0, 93.89, 0.852; GCF_001584325.1, s__Bacillus nakamurai, 95.0, 87.67, 0.696; GCF_018613535.1, s__Bacillus sp018613535, 95.0, 87.46, 0.699; GCF_004124315.2, s__Bacillus cabrialesii, 95.0, 81.42, 0.191; GCF_001517105.1, s__Bacillus halotolerans, 95.0, 81.05, 0.199; GCF_000009045.1, s__Bacillus subtilis, 95.0, 81.05, 0.184; GCF_040784915.1, s__Bacillus subtilis_G, 95.0, 80.96, 0.175; GCF_031317525.1, s__Bacillus tequilensis, 95.0, 80.92, 0.195; GCF_004116955.1, s__Bacillus vallismortis, 95.0, 80.7, 0.177; GCF_031316635.1, s__Bacillus mojavensis, 95.47, 80.65, 0.192; GCF_000332645.1, s__Bacillus inaquosorum, 95.0, 80.62, 0.19; GCF_000738015.1, s__Bacillus stercoris, 95.0, 80.57, 0.174; GCA_026790065.1, s__Bacillus sp026790065, 95.0, 80.47, 0.178; GCF_031316495.1, s__Bacillus spizizenii, 95.0, 80.46, 0.184; GCF_011745685.2, s__Bacillus rugosus, 95.0, 80.37, 0.17; GCF_001584335.1, s__Bacillus atrophaeus, 95.0, 80.18, 0.168; GCA_020223575.2, s__Bacillus mexicanus, 95.0, 80.16, 0.169	95.39	11	N/A	N/A
HN00175796_GS201401	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	GCF_014131735.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	98.95	0.867	GCF_014131735.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	98.95	0.867	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_032681335.1, s__Lactiplantibacillus sp032681335, 95.0, 90.41, 0.593; GCF_003641145.1, s__Lactiplantibacillus paraplantarum, 95.0, 88.62, 0.523; GCF_003641185.1, s__Lactiplantibacillus pentosus, 95.0, 83.52, 0.233; GCA_000463075.2, s__Lactiplantibacillus plantarum_A, 95.0, 82.38, 0.202	94.12	11	N/A	N/A
HN00175796_GS201402	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	GCF_014131735.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	98.94	0.867	GCF_014131735.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	98.94	0.867	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_032681335.1, s__Lactiplantibacillus sp032681335, 95.0, 90.41, 0.593; GCF_003641145.1, s__Lactiplantibacillus paraplantarum, 95.0, 88.61, 0.522; GCF_003641185.1, s__Lactiplantibacillus pentosus, 95.0, 83.13, 0.237; GCA_000463075.2, s__Lactiplantibacillus plantarum_A, 95.0, 82.38, 0.203	94.12	11	N/A	N/A
HN00175796_GS41424	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis	GCF_001461825.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis	97.68	0.943	GCF_001461825.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis	97.68	0.943	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000262045.1, s__Bacillus siamensis, 95.0, 94.28, 0.907; GCF_000196735.1, s__Bacillus amyloliquefaciens, 95.0, 93.88, 0.866; GCF_001584325.1, s__Bacillus nakamurai, 95.0, 87.54, 0.681; GCF_018613535.1, s__Bacillus sp018613535, 95.0, 87.39, 0.694; GCF_000009045.1, s__Bacillus subtilis, 95.0, 81.46, 0.191; GCF_004124315.2, s__Bacillus cabrialesii, 95.0, 81.3, 0.204; GCF_031317525.1, s__Bacillus tequilensis, 95.0, 81.09, 0.196; GCF_040784915.1, s__Bacillus subtilis_G, 95.0, 81.05, 0.179; GCF_001517105.1, s__Bacillus halotolerans, 95.0, 81.04, 0.204; GCF_004116955.1, s__Bacillus vallismortis, 95.0, 81.01, 0.181; GCF_000332645.1, s__Bacillus inaquosorum, 95.0, 80.79, 0.196; GCF_031316495.1, s__Bacillus spizizenii, 95.0, 80.79, 0.191; GCA_026790065.1, s__Bacillus sp026790065, 95.0, 80.78, 0.182; GCF_000738015.1, s__Bacillus stercoris, 95.0, 80.57, 0.178; GCF_031316635.1, s__Bacillus mojavensis, 95.47, 80.51, 0.189; GCF_011745685.2, s__Bacillus rugosus, 95.0, 80.45, 0.18; GCF_001584335.1, s__Bacillus atrophaeus, 95.0, 80.16, 0.182; GCA_020223575.2, s__Bacillus mexicanus, 95.0, 80.14, 0.174	96.19	11	N/A	N/A
HN00175796_GS41425	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus safensis	GCF_000691165.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus safensis	95.7	0.912	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_000691165.1, s__Bacillus safensis, 95.0, 95.7, 0.912; GCA_025809375.1, s__Bacillus zhangzhouensis_A, 95.0, 95.05, 0.881; GCF_001307105.1, s__Bacillus australimaris, 95.01, 93.58, 0.915; GCA_030159235.1, s__Bacillus safensis_B, 95.0, 92.83, 0.901; GCF_038738535.1, s__Bacillus sp002998085, 95.0, 92.27, 0.889; GCF_900186955.1, s__Bacillus pumilus, 95.45, 91.77, 0.878; GCF_014764715.1, s__Bacillus sp014764715, 95.0, 91.42, 0.83; GCF_003431975.1, s__Bacillus pumilus_N, 95.0, 91.25, 0.854; GCF_024498355.1, s__Bacillus pumilus_P, 95.0, 91.15, 0.841; GCF_000715205.1, s__Bacillus zhangzhouensis, 95.0, 90.96, 0.838; GCF_009937765.1, s__Bacillus pumilus_O, 95.0, 90.94, 0.851; GCF_000691145.1, s__Bacillus altitudinis, 95.0, 89.94, 0.815; GCF_002744245.1, s__Bacillus pumilus_M, 95.0, 89.93, 0.769; GCF_000300535.1, s__Bacillus xiamenensis, 95.0, 89.89, 0.767; GCF_020524495.1, s__Bacillus stratosphericus_B, 95.0, 89.63, 0.68; GCA_001938995.1, s__Bacillus pumilus_G, 95.0, 86.68, 0.618; GCF_040500475.1, s__Bacillus sp040500475, 95.0, 86.51, 0.59	96.9	11	N/A	N/A
HN00176442_F3372	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter;s__Arthrobacter oxydans	GCF_013314975.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter;s__Arthrobacter oxydans	98.02	0.838	GCF_013314975.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter;s__Arthrobacter oxydans	98.02	0.838	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_014644515.1, s__Arthrobacter scleromae, 95.35, 94.32, 0.835; GCF_014644495.1, s__Arthrobacter polychromogenes, 95.0, 93.54, 0.808; GCF_001641125.1, s__Arthrobacter sp001641125, 95.0, 92.69, 0.757; GCF_021129155.1, s__Arthrobacter sp021129155, 95.0, 90.71, 0.716; GCF_040224115.1, s__Arthrobacter sp040224115, 95.0, 90.4, 0.713; GCF_034258515.1, s__Arthrobacter sp009741265, 95.0, 86.99, 0.552; GCF_002892835.1, s__Arthrobacter sp002892835, 95.0, 86.7, 0.581; GCF_002953935.1, s__Arthrobacter sp002953935, 95.0, 86.64, 0.513; GCF_020809045.1, s__Arthrobacter sp006151685, 95.0, 86.61, 0.555; GCF_000189535.1, s__Arthrobacter phenanthrenivorans, 95.0, 85.92, 0.473; GCA_013362385.1, s__Arthrobacter sp013362385, 95.0, 84.88, 0.225; GCF_005796225.1, s__Arthrobacter sp005796225, 95.0, 84.78, 0.428; GCF_005796185.1, s__Arthrobacter sp005796185, 95.0, 84.62, 0.444; GCF_900537115.1, s__Arthrobacter sp900537115, 95.0, 84.55, 0.413; GCF_000332815.1, s__Arthrobacter nitrophenolicus, 95.0, 84.54, 0.369; GCF_030817075.1, s__Arthrobacter sp030817075, 95.0, 84.46, 0.398; GCF_001046895.1, s__Arthrobacter siccitolerans, 95.0, 84.06, 0.358; GCF_902506095.1, s__Arthrobacter sp902506095, 95.0, 83.98, 0.359; GCF_006715305.1, s__Arthrobacter sp006715305, 95.0, 83.97, 0.342; GCF_900168295.1, s__Arthrobacter sp900168295, 95.0, 83.92, 0.358; GCF_030823375.1, s__Arthrobacter siccitolerans_A, 95.0, 83.89, 0.348; GCF_030817835.1, s__Arthrobacter sp030817835, 95.0, 83.89, 0.345; GCF_002929215.1, s__Arthrobacter sp002929215, 95.0, 83.89, 0.339; GCF_024758005.1, s__Arthrobacter sp024758005, 95.0, 83.8, 0.353; GCF_900110595.1, s__Arthrobacter sp900110595, 95.0, 83.66, 0.345; GCA_036566705.1, s__Arthrobacter sp036566705, 95.0, 83.57, 0.154; GCF_003061105.1, s__Arthrobacter sp003061105, 95.0, 83.43, 0.157; GCA_035475035.1, s__Arthrobacter sp035475035, 95.0, 83.35, 0.278; GCF_019710585.1, s__Arthrobacter sp019710585, 95.0, 83.3, 0.304; GCF_019977275.1, s__Arthrobacter sp000374905, 95.0, 83.29, 0.306; GCF_006715225.1, s__Arthrobacter sp006715225, 95.0, 83.2, 0.306; GCF_005796205.1, s__Arthrobacter sp005796205, 95.0, 83.16, 0.307; GCF_030816485.1, s__Arthrobacter sp030816485, 95.0, 83.15, 0.299; GCF_001428075.1, s__Arthrobacter sp001428075, 95.0, 83.13, 0.311; GCF_006715165.1, s__Arthrobacter sp006715165, 95.0, 83.12, 0.298; GCF_021800405.1, s__Arthrobacter sp021800405, 95.0, 83.07, 0.287; GCF_019977395.1, s__Arthrobacter sp902506025, 95.0, 83.06, 0.299; GCF_006715285.1, s__Arthrobacter sp006715285, 95.0, 83.05, 0.294; GCF_024362385.1, s__Arthrobacter sp024362385, 95.0, 83.01, 0.292; GCF_900105535.1, s__Arthrobacter equi, 95.0, 82.99, 0.288; GCF_000813845.1, s__Arthrobacter phenanthrenivorans_B, 95.0, 82.94, 0.284; GCF_031844305.1, s__Arthrobacter sp031844305, 95.0, 82.91, 0.29; GCF_013359725.1, s__Arthrobacter sp013359725, 95.0, 82.88, 0.291; GCF_030816725.1, s__Arthrobacter defluvii_A, 95.0, 82.87, 0.275; GCF_030944625.1, s__Arthrobacter sp030944625, 95.0, 82.84, 0.273; GCF_000022025.1, s__Arthrobacter chlorophenolicus, 95.0, 82.83, 0.28; GCF_030323865.1, s__Arthrobacter defluvii_B, 95.0, 82.82, 0.289; GCF_001457025.1, s__Arthrobacter enclensis, 95.0, 82.79, 0.317; GCF_006517815.1, s__Arthrobacter niigatensis, 95.0, 82.76, 0.274; GCF_014639275.1, s__Arthrobacter liuii, 95.0, 82.73, 0.271; GCF_001423525.1, s__Arthrobacter sp001423525, 95.0, 82.69, 0.287; GCF_018613675.1, s__Arthrobacter sp018613675, 95.0, 82.67, 0.232; GCF_000962805.1, s__Arthrobacter chlorophenolicus_A, 95.0, 82.58, 0.289; GCF_030811655.1, s__Arthrobacter enclensis_A, 95.0, 82.57, 0.255; GCF_030209315.1, s__Arthrobacter sp030209315, 95.0, 82.53, 0.247; GCA_024372495.1, s__Arthrobacter sp024372495, 95.0, 82.46, 0.263; GCF_000374865.1, s__Arthrobacter sp000374865, 95.0, 82.38, 0.27; GCF_036455295.1, s__Arthrobacter phenanthrenivorans_C, 95.0, 82.34, 0.253; GCF_040812005.1, s__Arthrobacter sp040812005, 95.0, 82.26, 0.24; GCF_030209355.1, s__Arthrobacter sp030209355, 95.0, 82.22, 0.246; GCF_031457335.1, s__Arthrobacter sp031457335, 95.0, 82.22, 0.241; GCA_023264815.1, s__Arthrobacter sp023264815, 95.0, 82.17, 0.225; GCF_001424565.1, s__Arthrobacter sp001424565, 95.0, 82.11, 0.247; GCA_035254945.1, s__Arthrobacter sp035254945, 95.0, 82.11, 0.213; GCF_004320525.1, s__Arthrobacter sp004320525, 95.0, 82.03, 0.23; GCF_014764445.1, s__Arthrobacter luteus_A, 95.0, 81.93, 0.204; GCF_023913735.1, s__Arthrobacter sp023913735, 95.0, 81.78, 0.197; GCF_023913755.1, s__Arthrobacter sp023913755, 95.0, 81.67, 0.206; GCF_037203945.1, s__Arthrobacter sp037203945, 95.0, 81.63, 0.205; GCA_002370555.1, s__Arthrobacter sp002370555, 95.0, 81.62, 0.231; GCF_023273875.1, s__Arthrobacter sp023273875, 95.08, 81.62, 0.204; GCA_036790915.1, s__Arthrobacter sp002427975, 95.0, 81.61, 0.209; GCF_006517235.1, s__Arthrobacter sp002929755, 95.0, 81.58, 0.216; GCF_001663775.1, s__Arthrobacter sp001663775, 95.0, 81.58, 0.211; GCF_001484605.1, s__Arthrobacter sulfonivorans_A, 95.0, 81.55, 0.201; GCF_014217545.1, s__Arthrobacter sp014217545, 95.0, 81.49, 0.204; GCF_009911795.1, s__Arthrobacter psychrotolerans, 95.0, 81.49, 0.199; GCF_031454915.1, s__Arthrobacter sulfonivorans_C, 95.0, 81.47, 0.204; GCF_001428335.1, s__Arthrobacter sp001428335, 95.0, 81.44, 0.199; GCF_030815585.1, s__Arthrobacter pascens_A, 95.0, 81.44, 0.191; GCF_026427775.1, s__Arthrobacter sp026427775, 95.0, 81.43, 0.184; GCF_024294965.1, s__Arthrobacter humi, 95.0, 81.42, 0.215; GCF_034048115.1, s__Arthrobacter sp029076445, 95.0, 81.41, 0.208; GCF_040548695.1, s__Arthrobacter sp040548695, 95.0, 81.41, 0.195; GCF_029960665.1, s__Arthrobacter sp029960665, 95.0, 81.33, 0.197; GCA_003287955.1, s__Arthrobacter sp003287955, 95.0, 81.31, 0.192; GCF_024391045.1, s__Arthrobacter sulfonivorans_B, 95.0, 81.3, 0.212; GCF_014712225.1, s__Arthrobacter sulfonivorans, 95.0, 81.23, 0.2; GCF_040546085.1, s__Arthrobacter sp040546085, 95.0, 81.19, 0.188; GCF_030816475.1, s__Arthrobacter pascens_B, 95.0, 81.17, 0.163; GCF_018613805.1, s__Arthrobacter sp018613805, 95.0, 80.97, 0.167; GCF_036330215.1, s__Arthrobacter sp036330215, 95.0, 80.81, 0.154; GCF_900609065.1, s__Arthrobacter ulcerisalmonis, 95.0, 80.61, 0.162; GCA_036565085.1, s__Arthrobacter sp036565085, 95.0, 80.6, 0.154	96.86	11	N/A	N/A
